gene_id	accession	gene_name	description	function
ACON2_029861	XR_007452836.1	LOC125907661	large subunit ribosomal RNA	
ACON2_029887	XM_040378678.2	LOC120956889	uncharacterized LOC120956889	uncharacterized protein LOC120956889
ACON2_029889	XM_040375666.2	LOC120955132	putative gamma-glutamylcyclotransferase CG2811	putative gamma-glutamylcyclotransferase CG2811|Gamma-glutamylcyclotransferase family protein
ACON2_029903	XM_040364706.2	pygo	pygopus family PHD finger	protein pygopus|PHD-type domain-containing protein
ACON2_029943	XM_040384726.2	LOC120961087	uncharacterized LOC120961087	uncharacterized protein LOC120961087|Ima1_N domain-containing protein
ACON2_029970	XM_040382469.2	LOC120959218	glutathione S-transferase 1-1-like	glutathione S-transferase 1-1-like|glutathione transferase
ACON2_029978	XM_040363906.2	LOC120947981	phenoloxidase 8-like	phenoloxidase 8-like|Tyrosinase_Cu-bd domain-containing protein
ACON2_030018	XM_040366211.2	LOC120949153	glycine dehydrogenase (decarboxylating), mitochondrial	glycine dehydrogenase (decarboxylating), mitochondrial
ACON2_030021	XR_007453321.1	LOC125908236	uncharacterized LOC125908236	
ACON2_030044	XM_049608769.1	LOC120958487	uncharacterized LOC120958487	uncharacterized protein LOC120958487
ACON2_030097	XM_040371764.2	LOC120952437	general odorant-binding protein 83a-like	general odorant-binding protein 83a-like|Odorant-binding protein
ACON2_030103	XM_040365795.2	LOC120948927	serine protease gd-like	serine protease gd-like|Peptidase S1 domain-containing protein
ACON2_030119	XM_049611014.1	LOC125908319	uncharacterized LOC125908319	uncharacterized protein LOC125908319
ACON2_030152	XM_040376579.2	LOC120955579	lysosomal alpha-mannosidase-like	lysosomal alpha-mannosidase-like
ACON2_030154	XM_040365945.2	LOC120949016	solute carrier organic anion transporter family member 74D-like	solute carrier organic anion transporter family member 74D-like
ACON2_030192	XM_040377025.2	LOC120955838	probable serine/threonine-protein kinase kinX	probable serine/threonine-protein kinase kinX
ACON2_030198	XM_040367811.2	LOC120950071	M-phase inducer phosphatase-like	M-phase inducer phosphatase-like|uncharacterized protein LOC120950071
ACON2_030220	XM_040382314.2	LOC120959136	protein scylla-like	alpha-protein kinase 1-like|Thyroid hormone receptor-associated protein complex subunit
ACON2_030247	XM_049606417.1	nw	narrow	myotubularin-related protein DDB_G0290005|C-type lectin domain-containing protein|ribosomal biogenesis protein LAS1L|uncharacterized protein LOC120953701
ACON2_030250	XM_040376932.2	LOC120955786	multiple epidermal growth factor-like domains protein 6	multiple epidermal growth factor-like domains protein 6|Chitin-binding type-2 domain-containing protein
ACON2_030303	XM_040378017.2	LOC120956512	uncharacterized LOC120956512	uncharacterized protein LOC120956512
ACON2_030321	XM_049606481.1	Oct-TyrR	Octopamine-Tyramine receptor	octopamine receptor|G_PROTEIN_RECEP_F1_2 domain-containing protein
ACON2_030339	XM_040369138.2	LOC120950802	alpha-protein kinase 1-like	alpha-protein kinase 1-like|AXH domain-containing protein
ACON2_030362	XM_040369201.2	Dhc1	dynein axonemal heavy chain 1	dynein axonemal heavy chain 5|Dynein heavy chain 1|dynein heavy chain 5, axonemal
ACON2_030368	XM_040375911.2	LOC120955231	uncharacterized LOC120955231	uncharacterized protein LOC120955231
ACON2_030396	XM_040377250.2	tzn	hydroxyacylglutathione hydrolase tenzing norgay	hydroxyacylglutathione hydrolase, mitochondrial|Lactamase_B domain-containing protein
ACON2_030428	XM_049607537.1	LOC125906853	uncharacterized LOC125906853	uncharacterized protein LOC125906853
ACON2_030463	XM_040364031.2	LOC120948043	progestin and adipoQ receptor family member 3	progestin and adipoQ receptor family member 3
ACON2_030487	XM_040366113.2	LOC120949099	mucin-5AC	mucin-5AC
ACON2_030492	XM_040374276.2	Klp61F	Kinesin-like protein at 61F	kinesin-like protein Klp61F
ACON2_030501	XM_040377918.2	LOC120956446	uncharacterized LOC120956446	uncharacterized protein LOC120956446
ACON2_030525	XM_040367996.2	Cipc	Clock interacting protein circadian	location of vulva defective 1|putative protein TPRXL
ACON2_030534	XM_040375978.2	shtd	anaphase promoting complex subunit 1	anaphase-promoting complex subunit 1
ACON2_030573	XM_040365133.2	LOC120948605	uncharacterized LOC120948605	uncharacterized protein LOC120948605|Retrotransposon gag domain-containing protein
ACON2_030579	XM_040365112.2	Arr2	arrestin 2	arrestin homolog|Arrestin_C domain-containing protein
ACON2_030607	XM_040366165.2	ple	tyrosine hydroxylase ple	tyrosine 3-monooxygenase
ACON2_030616	XM_040382259.2	LOC120959091	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_030640	XM_040364247.2	nAChRalpha1	nicotinic acetylcholine receptor alpha1	acetylcholine receptor subunit alpha-like 1
ACON2_030663	XM_040363182.2	TwdlT	TweedleT	keratin, type I cytoskeletal 9|DUF243 domain-containing protein
ACON2_030678	XM_040378878.2	LOC120956987	transcription termination factor 2	dynein regulatory complex protein 11
ACON2_030697	XM_049606536.1	LOC125906674	uncharacterized LOC125906674	uncharacterized protein LOC125906674
ACON2_030716	XM_040385332.2	LOC120961551	chymotrypsin-2-like	chymotrypsin-2-like|Peptidase S1 domain-containing protein
ACON2_030729	XM_040381845.2	LOC120958818	uncharacterized LOC120958818	uncharacterized protein LOC120958818|Chitin-binding type-2 domain-containing protein
ACON2_030760	XR_007453150.1	LOC125908033	large subunit ribosomal RNA	
ACON2_030777	XM_040374907.2	jing	AE binding protein 2 jing	zinc finger protein jing homolog
ACON2_030909	XM_040364527.2	LOC120948320	protein A16-like	protein A16-like|C-type lectin domain-containing protein
ACON2_030929	XR_005751677.2	LOC120954304	small nucleolar RNA Me28S-Am2589	
ACON2_030973	XR_007453250.1	LOC125908147	uncharacterized LOC125908147	
ACON2_030996	XM_040364589.2	nAChRalpha6	nicotinic acetylcholine receptor alpha6	neuronal acetylcholine receptor subunit alpha-7|Nicotinic acetylcholine receptor alpha 6 subunit
ACON2_030998	XR_007452880.1	LOC125907711	uncharacterized LOC125907711	
ACON2_031019	XM_040370941.2	LOC120951930	trypsin-1-like	trypsin-1-like
ACON2_031036	XM_040370290.2	LOC120951519	mitochondrial fission process protein 1	mitochondrial fission process protein 1
ACON2_031041	XM_040377816.2	Tes	testin LIM domain protein	testin
ACON2_031052	XM_040379261.2	LOC120957195	aromatic-L-amino-acid decarboxylase-like	aromatic-L-amino-acid decarboxylase-like
ACON2_031058	XM_049609268.1	LOC125907391	uncharacterized LOC125907391	uncharacterized protein LOC125907391
ACON2_031108	XM_049608731.1	LOC125907287	glycoprotein endo-alpha-1,2-mannosidase	glycoprotein endo-alpha-1,2-mannosidase|Glyco_18 domain-containing protein
ACON2_031113	XM_040381692.2	LOC120958717	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like|Dimeric dihydrodiol dehydrogenase
ACON2_031117	XM_040369849.2	LOC120951254	heat shock protein 70 A1	heat shock protein 70 A1
ACON2_031172	XM_040362422.2	LOC120947256	putative ribosome-binding factor A, mitochondrial	putative ribosome-binding factor A, mitochondrial
ACON2_031198	XM_040368826.2	LOC120950634	wiskott-Aldrich syndrome protein family member 3	wiskott-Aldrich syndrome protein family member 3
ACON2_031229	XM_040378221.2	LOC120956601	alpha-glucosidase-like	alpha-glucosidase-like
ACON2_031239	XM_040363696.2	Klp67A	Kinesin-like protein at 67A	kinesin-like protein KIF18A|Kinesin motor domain-containing protein
ACON2_031303	XM_040368977.2	LOC120950722	protein I'm not dead yet-like	protein I'm not dead yet-like|Na+/dicarboxylate na+/tricarboxylate and phosphate transporter
ACON2_031342	XM_040380871.2	LOC120958230	uncharacterized LOC120958230	uncharacterized protein LOC120958230
ACON2_031349	XR_007453326.1	LOC125908242	5.8S ribosomal RNA	
ACON2_031351	XM_040364936.2	LOC120948517	mucin-12-like	mucin-12-like
ACON2_031388	XM_049608109.1	Nep1	M13 family metallopeptidase neprilysin 1	neprilysin-1
ACON2_031401	XR_007451857.1	LOC125906485	uncharacterized LOC125906485	
ACON2_031438	XM_040371169.2	mud	mushroom body defect	centrosome-associated protein CEP250|Calponin-homology (CH) domain-containing protein|myosin-2|putative uncharacterized protein MYH16
ACON2_031448	XR_007453201.1	LOC125908088	large subunit ribosomal RNA	
ACON2_031494	XM_040375142.2	LOC120954863	multidrug resistance-associated protein 1-like	multidrug resistance-associated protein 1-like|P-loop containing nucleoside triphosphate hydrolase protein
ACON2_031508	XM_040364085.2	LOC120948097	pheromone-binding protein-related protein 6-like	pheromone-binding protein-related protein 6-like|Odorant-binding protein
ACON2_031523	XM_040370241.2	LOC120951481	beta-1,3-glucan-binding protein	beta-1,3-glucan-binding protein|GH16 domain-containing protein
ACON2_031598	XM_049609115.1	Marf1	meiosis regulator and mRNA stability factor 1-like protein	meiosis regulator and mRNA stability factor 1
ACON2_031604	XM_040372659.2	LOC120953010	pheromone-binding protein-related protein 6-like	pheromone-binding protein-related protein 6-like
ACON2_031607	XM_040367015.2	LOC120949612	PDZ and LIM domain protein 7-like	PDZ and LIM domain protein 7-like|membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1-like
ACON2_031617	XM_049605798.1	LOC125906541	uncharacterized LOC125906541	uncharacterized protein LOC125906541
ACON2_031661	XM_040381954.2	LOC120958887	microfibril-associated glycoprotein 4	microfibril-associated glycoprotein 4
ACON2_031666	XM_040382056.2	LOC120958961	sodium-coupled monocarboxylate transporter 1-like	sodium-coupled monocarboxylate transporter 1-like
ACON2_031705	XM_040379398.2	Su(H)	recombining binding protein suppressor of hairless	recombining binding protein suppressor of hairless|Suppressor of hairless protein
ACON2_031731	XM_040366431.2	LOC120949251	uncharacterized LOC120949251	uncharacterized protein LOC120949251|RING-type domain-containing protein
ACON2_031778	XM_049609158.1	LOC120956364	bestrophin-4-like	bestrophin-4-like
ACON2_031786	XM_040371632.2	LOC120952349	ficolin-1-like	ficolin-1-like
ACON2_031813	XM_049606738.1	LOC120961011	putative fatty acyl-CoA reductase CG5065	putative fatty acyl-CoA reductase CG5065
ACON2_031850	XR_007452545.1	LOC125907277	uncharacterized LOC125907277	
ACON2_031856	XR_007452706.1	LOC125907489	uncharacterized LOC125907489	
ACON2_031928	XM_040379259.2	Delta	neurogenic locus protein delta	neurogenic locus protein delta|Delta-like protein
ACON2_031930	XM_040384269.2	Ipk1	Inositol phosphate kinase 1	inositol-pentakisphosphate 2-kinase
ACON2_031957	XM_049610488.1	LOC125907542	uncharacterized LOC125907542	uncharacterized protein LOC125907542
ACON2_031975	XM_040375694.2	aay	phosphoserine phosphatase	phosphoserine phosphatase
ACON2_031978	XM_040377631.2	LOC120956256	uncharacterized LOC120956256	uncharacterized protein LOC120956256|SET and MYND domain-containing protein 4
ACON2_031990	XM_049611178.1	LOC120961433	uncharacterized LOC120961433	uncharacterized protein LOC120961433
ACON2_032013	XM_040369687.2	LOC120951142	alpha-amylase A-like	alpha-amylase A-like
ACON2_032017	XM_040372715.2	LOC120953048	chorion peroxidase-like	chorion peroxidase-like
ACON2_032027	XR_007452709.1	LOC125907491	uncharacterized LOC125907491	
ACON2_032054	XM_040364843.2	LOC120948475	protein lethal(2)essential for life-like	protein lethal(2)essential for life-like
ACON2_032058	XM_040377502.2	LOC120956123	uncharacterized LOC120956123	uncharacterized protein LOC120956123
ACON2_032064	XM_040365754.2	Dgk	diacyl glycerol kinase 1	diacylglycerol kinase 1
ACON2_032066	XM_049606860.1	LOC125906717	GILT-like protein 3	GILT-like protein 3
ACON2_032091	XM_040381354.2	LOC120958502	histone H2A	histone H2A
ACON2_032093	XR_007452755.1	LOC125907539	uncharacterized LOC125907539	
ACON2_032102	XM_040366323.2	LOC120949202	enolase-phosphatase E1	enolase-phosphatase E1
ACON2_032116	XM_040383715.2	LOC120959929	succinate dehydrogenase assembly factor 2, mitochondrial	succinate dehydrogenase assembly factor 2, mitochondrial
ACON2_032117	XM_040372154.2	Pxt	chorion peroxidase	chorion peroxidase
ACON2_032138	XR_007452775.1	LOC125907564	uncharacterized LOC125907564	
ACON2_032143	XM_040371795.2	LOC120952466	uncharacterized LOC120952466	uncharacterized protein LOC120952466
ACON2_032155	XM_040366072.2	LOC120949081	protein distal antenna-like	protein distal antenna-like|HTH psq-type domain-containing protein
ACON2_032178	XM_049605909.1	LOC120948316	dendritic arbor reduction protein 1	dendritic arbor reduction protein 1
ACON2_032221	XM_049608911.1	LOC120956216	uncharacterized LOC120956216	uncharacterized protein LOC120956216
ACON2_032243	XM_040368399.2	LOC120950405	maternal effect protein oskar	maternal effect protein oskar
ACON2_032265	XM_040382583.2	LOC120959296	fibrinogen C domain-containing protein 1-like	fibrinogen C domain-containing protein 1-like|Fibrinogen C-terminal domain-containing protein
ACON2_032275	XM_049605630.1	LOC120950737	uncharacterized LOC120950737	uncharacterized protein LOC120950737|PDZ domain-containing protein
ACON2_032315	XM_040365126.2	LOC120948599	opsin-2	opsin-2
ACON2_032356	XM_040368869.2	LOC120950651	protein scarlet-like	protein scarlet-like|ABC transporter domain-containing protein
ACON2_032358	XM_040372855.2	LOC120953143	uncharacterized LOC120953143	uncharacterized protein LOC120953143|Protein kinase domain-containing protein|serine/threonine-protein kinase nak1
ACON2_032439	XM_040385414.2	Lrpprc2	Leucine-rich pentatricopeptide repeat containing 2	leucine-rich PPR motif-containing protein, mitochondrial|PPR_long domain-containing protein|Pentacotripeptide-repeat region of PRORP domain-containing protein
ACON2_032469	XM_049608709.1	LOC120957692	alpha-L-iduronidase	alpha-L-iduronidase
ACON2_032498	XM_040369530.2	Snmp1	sensory neuron membrane protein 1	sensory neuron membrane protein 1
ACON2_032510	XM_040378204.2	LOC120956594	ATPase inhibitor A, mitochondrial	ATPase inhibitor A, mitochondrial
ACON2_032572	XM_040368288.2	LOC120950328	cytochrome P450 6a2-like	cytochrome P450 6a2-like
ACON2_032583	XM_049608861.1	LOC120958738	arginine kinase-like	arginine kinase-like|neurogenic locus notch homolog protein 4|uncharacterized protein LOC120958738
ACON2_032595	XM_040384828.2	LOC120961148	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_032602	XM_040371417.2	LOC120952205	uncharacterized LOC120952205	uncharacterized protein LOC120952205
ACON2_032610	XM_040369969.2	LOC120951314	alkaline phosphatase	alkaline phosphatase
ACON2_032622	XM_040383954.2	LOC120960046	serum response factor homolog A-like	serum response factor homolog A-like
ACON2_032628	XM_040385339.2	LOC120961555	headcase protein-like	headcase protein-like|Headcase middle domain-containing protein
ACON2_032630	XM_040378667.2	LOC120956885	uncharacterized LOC120956885	uncharacterized protein LOC120956885
ACON2_032636	XR_005751726.2	LOC120954734	uncharacterized LOC120954734	
ACON2_032645	XM_040378350.2	Cyp6d4	Cytochrome P450 6d4	cytochrome P450 6d3
ACON2_032680	XM_040383348.2	LOC120959729	luciferin sulfotransferase-like	luciferin sulfotransferase-like
ACON2_032697	XM_040378116.2	LOC120956568	lamin Dm0-like	lamin Dm0-like
ACON2_032714	XM_040366556.2	Vps16B	Vacuolar protein sorting 16B	vacuolar protein sorting-associated protein 16B|Vps16_C domain-containing protein
ACON2_032719	XM_040375810.2	LOC120955197	uncharacterized LOC120955197	uncharacterized protein LOC120955197
ACON2_032792	XM_040378043.2	slmo	PRELI domain containing slowmo	protein slowmo|PRELI/MSF1 domain-containing protein
ACON2_032805	XM_040370760.2	Vti1b	Vesicle transport through interaction with t-SNAREs 1b	uncharacterized protein LOC120951815|t-SNARE coiled-coil homology domain-containing protein
ACON2_032827	XM_049605373.1	LOC120947391	uncharacterized LOC120947391	uncharacterized protein LOC120947391|PH domain-containing protein
ACON2_032841	XM_049611189.1	LOC125908428	DE-cadherin-like	DE-cadherin-like
ACON2_032868	XM_040382497.2	Cbp53E	Calbindin 53E	calbindin-32
ACON2_032876	XM_040377882.2	LOC120956424	glutaryl-CoA dehydrogenase, mitochondrial	glutaryl-CoA dehydrogenase, mitochondrial
ACON2_032881	XM_040370313.2	LOC120951538	adipocyte plasma membrane-associated protein Hemomucin-like	adipocyte plasma membrane-associated protein Hemomucin-like|Str_synth domain-containing protein
ACON2_032892	XM_040366118.2	LOC120949105	mitochondrial inner membrane protease subunit 1	mitochondrial inner membrane protease subunit 1
ACON2_032934	XM_040379553.2	LOC120957367	uncharacterized LOC120957367	uncharacterized protein LOC120957367
ACON2_032999	XM_040366373.2	AcCoAS	acetyl coenzyme A synthase	acetyl-coenzyme A synthetase
ACON2_033019	XM_040367807.2	LOC120950069	uncharacterized LOC120950069	uncharacterized protein LOC120950069
ACON2_033020	XR_007452770.1	LOC125907554	uncharacterized LOC125907554	
ACON2_033024	XM_040381824.2	LOC120958809	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog|LITAF domain-containing protein
ACON2_033053	XM_040363679.2	LOC120947874	uncharacterized LOC120947874	uncharacterized protein LOC120947874|PH domain-containing protein
ACON2_033055	XM_040372252.2	LOC120952763	uncharacterized LOC120952763	uncharacterized protein LOC120952763
ACON2_033058	XM_049605691.1	Root	ciliary rootlet coiled-coil, rootletin	rootletin
ACON2_033069	XM_040377195.2	LOC120955936	uncharacterized LOC120955936	uncharacterized protein LOC120955936
ACON2_033084	XM_040369439.2	meru	ras association domain-containing protein meru	uncharacterized protein LOC120950986
ACON2_033100	XM_040366815.2	LOC120949487	uncharacterized LOC120949487	uncharacterized protein LOC120949487
ACON2_033118	XM_040384572.2	LOC120961019	uncharacterized LOC120961019	uncharacterized protein LOC120961019
ACON2_033121	XM_040385678.2	LOC120961699	uncharacterized LOC120961699	uncharacterized protein LOC120961699
ACON2_033128	XM_040377002.2	SmydA-8	SET and MYND domain containing, arthropod-specific, member 8	SET domain-containing protein SmydA-8
ACON2_033142	XM_049610139.1	LOC125907503	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_033164	XM_040376797.2	LOC120955705	uncharacterized LOC120955705	uncharacterized protein LOC120955705
ACON2_033214	XR_007452865.1	LOC125907696	large subunit ribosomal RNA	
ACON2_033228	XM_040383284.2	LOC120959695	borealin-like	borealin-like
ACON2_033249	XM_040383346.2	LOC120959728	sulfotransferase 1B1-like	luciferin sulfotransferase-like
ACON2_033253	XM_040380417.2	LOC120957942	antigen 5 like allergen Cul n 1-like	antigen 5 like allergen Cul n 1-like|SCP domain-containing protein
ACON2_033265	XM_040363562.2	wake	ankyrin repeat and fibronectin type III domain containing protein wide awake	uncharacterized protein LOC120947817
ACON2_033287	XM_049610169.1	LOC120959730	luciferin sulfotransferase-like	luciferin sulfotransferase-like
ACON2_033306	XM_040377722.2	LOC120956340	protein regulator of cytokinesis 1-like	protein regulator of cytokinesis 1-like
ACON2_033317	XM_040382352.2	Gyc32E	Guanylyl cyclase at 32E	guanylate cyclase 32E
ACON2_033318	XM_040364981.2	LOC120948542	uncharacterized LOC120948542	uncharacterized protein LOC120948542|Transmembrane protein 192
ACON2_033343	XM_040367779.2	LOC120950040	uncharacterized LOC120950040	uncharacterized protein LOC120950040|MARVEL domain-containing protein
ACON2_033354	XM_040384100.2	LOC120960127	POU domain, class 6, transcription factor 2-like	POU domain, class 6, transcription factor 2-like
ACON2_033361	XR_005751886.2	LOC120956993	uncharacterized LOC120956993	
ACON2_033411	XM_040372152.2	LOC120952691	probable cytochrome P450 9f2	probable cytochrome P450 9f2|Cytochrome P450
ACON2_033419	XM_040382648.2	LOC120959342	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_033420	XM_040370015.2	LOC120951348	antichymotrypsin-2-like	antichymotrypsin-2-like
ACON2_033484	XM_049610963.1	LOC120951196	translational regulator orb2-like	translational regulator orb2-like|uncharacterized protein LOC120951196
ACON2_033530	XM_040381285.2	LOC120958453	uncharacterized LOC120958453	uncharacterized protein LOC120958453|odorant binding protein Obp57
ACON2_033558	XM_040368642.2	ninaG	neither inactivation nor afterpotential protein G	neither inactivation nor afterpotential protein G
ACON2_033613	XM_040383273.2	LOC120959681	peptide methionine sulfoxide reductase	peptide methionine sulfoxide reductase|Peptide-methionine (S)-S-oxide reductase
ACON2_033614	XM_040365773.2	LOC120948917	coenzyme Q-binding protein COQ10, mitochondrial	coenzyme Q-binding protein COQ10, mitochondrial|Coenzyme Q-binding protein COQ10 START domain-containing protein
ACON2_033616	XM_040381576.2	LOC120958636	uncharacterized LOC120958636	uncharacterized protein LOC120958636
ACON2_033625	XM_040382622.2	LOC120959325	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_033639	XM_040363400.2	LOC120947757	beta-alanine transporter	beta-alanine transporter
ACON2_033684	XM_040377670.2	LOC120956287	uncharacterized LOC120956287	uncharacterized protein LOC120956287
ACON2_033686	XM_040379598.2	LOC120957398	prostaglandin E synthase-like	prostaglandin E synthase-like
ACON2_033690	XM_040382660.2	LOC120959354	E3 ubiquitin-protein ligase makorin-2-like	E3 ubiquitin-protein ligase makorin-2-like
ACON2_033708	XM_049606955.1	LOC120951994	uncharacterized LOC120951994	uncharacterized protein LOC120951994
ACON2_033826	XM_040381907.2	LOC120958849	ecdysone receptor	ecdysone receptor
ACON2_033842	XM_040377127.2	Spred	Sprouty-related protein with EVH-1 domain	sprouty-related, EVH1 domain-containing protein 1|sprouty-related, EVH1 domain-containing protein 2|sprouty-related, EVH1 domain-containing protein 3
ACON2_033844	XM_040370044.2	LOC120951369	uncharacterized LOC120951369	uncharacterized protein LOC120951369|ionotropic receptor Ir7w
ACON2_033887	XR_007452827.1	LOC125907652	large subunit ribosomal RNA	
ACON2_033909	XM_049608910.1	LOC125907306	uncharacterized LOC125907306	uncharacterized protein LOC125907306
ACON2_033913	XM_040379780.2	LOC120957528	uncharacterized LOC120957528	uncharacterized protein LOC120957528|Protein TsetseEP domain-containing protein
ACON2_033934	XM_040381355.2	Orc6	origin recognition complex subunit 6	origin recognition complex subunit 6|Nop domain-containing protein
ACON2_033935	XM_040379475.2	Kpc1	Kip1 ubiquitination-promoting complex subunit 1	E3 ubiquitin-protein ligase RNF123
ACON2_033953	XM_049608734.1	LOC120959413	uncharacterized LOC120959413	uncharacterized protein LOC120959413
ACON2_033984	XM_049611006.1	LOC125908313	uncharacterized LOC125908313	uncharacterized protein LOC125908313
ACON2_034005	XM_040367390.2	LOC120949836	autotransporter adhesin BpaC-like	autotransporter adhesin BpaC-like
ACON2_034031	XM_040372162.2	blow	PH domain-containing protein blown fuse	uncharacterized protein LOC120952700|PH domain-containing protein
ACON2_034034	XM_040381024.2	NaPi-T	Na[+]-dependent inorganic phosphate cotransporter	sialin|vesicular glutamate transporter 2
ACON2_034039	XR_007453130.1	LOC125908011	large subunit ribosomal RNA	
ACON2_034062	XM_040365203.2	spn-A	RAD51 recombinase homolog spn-A	DNA repair protein RAD51 homolog A
ACON2_034081	XR_007452093.1	LOC125906743	uncharacterized LOC125906743	
ACON2_034099	XM_040370259.2	LOC120951495	uncharacterized LOC120951495	uncharacterized protein LOC120951495|DUF4766 domain-containing protein|Secreted mucin
ACON2_034119	XM_040377440.2	LOC120956058	uncharacterized LOC120956058	uncharacterized protein LOC120956058|Secreted protein
ACON2_034141	XM_040378773.2	LOC120959656	uncharacterized LOC120959656	uncharacterized protein LOC120959656
ACON2_034151	XM_040377935.2	LOC120956458	uncharacterized LOC120956458	uncharacterized protein LOC120956458
ACON2_034160	XM_049610305.1	LOC120959395	parkin coregulated gene protein homolog	parkin coregulated gene protein homolog
ACON2_034195	XM_040367421.2	NT1	Neurotrophin 1	neurotrophin 1
ACON2_034218	XM_040382586.2	LOC120959298	fibrinogen-like protein A	fibrinogen-like protein A
ACON2_034224	XM_049607230.1	LOC125906786	uncharacterized LOC125906786	uncharacterized protein LOC125906786
ACON2_034246	XM_040368877.2	LOC120950658	putative tyramine receptor 2	putative tyramine receptor 2
ACON2_034255	XM_040381200.2	Oatp26F	Organic anion transporting polypeptide 26F	solute carrier organic anion transporter family member 4A1
ACON2_034280	XR_007452548.1	LOC120956697	uncharacterized LOC120956697	
ACON2_034292	XM_040378302.2	Bgb	core-binding factor subunit big brother	protein big brother
ACON2_034358	XM_040381048.2	LOC120958333	protein midgut expression 1-like	protein midgut expression 1-like
ACON2_034366	XM_040366557.2	Alg2	alpha-1,3/1,6-mannosyltransferase Alg2	alpha-1,3/1,6-mannosyltransferase ALG2
