gene_id	accession
ACON2_030573	XM_040365133.2
ACON2_030579	XM_040365112.2
ACON2_030607	XM_040366165.2
ACON2_030616	XM_040382259.2
ACON2_030640	XM_040364247.2
ACON2_030663	XM_040363182.2
ACON2_030678	XM_040378878.2
ACON2_030697	XM_049606536.1
ACON2_030716	XM_040385332.2
ACON2_030729	XM_040381845.2
ACON2_030760	XR_007453150.1
ACON2_030777	XM_040374907.2
ACON2_030909	XM_040364527.2
ACON2_030929	XR_005751677.2
ACON2_030973	XR_007453250.1
ACON2_030996	XM_040364589.2
ACON2_030998	XR_007452880.1
ACON2_031019	XM_040370941.2
ACON2_031036	XM_040370290.2
ACON2_031041	XM_040377816.2
ACON2_031052	XM_040379261.2
ACON2_031058	XM_049609268.1
ACON2_031108	XM_049608731.1
ACON2_031113	XM_040381692.2
ACON2_031117	XM_040369849.2
ACON2_031172	XM_040362422.2
ACON2_031198	XM_040368826.2
ACON2_031229	XM_040378221.2
ACON2_031239	XM_040363696.2
ACON2_031303	XM_040368977.2
ACON2_031342	XM_040380871.2
ACON2_031349	XR_007453326.1
ACON2_031351	XM_040364936.2
ACON2_031388	XM_049608109.1
ACON2_031401	XR_007451857.1
ACON2_031438	XM_040371169.2
ACON2_031448	XR_007453201.1
ACON2_031494	XM_040375142.2
ACON2_031508	XM_040364085.2
ACON2_031523	XM_040370241.2
ACON2_031598	XM_049609115.1
ACON2_031604	XM_040372659.2
ACON2_031607	XM_040367015.2
ACON2_031617	XM_049605798.1
ACON2_031661	XM_040381954.2
ACON2_031666	XM_040382056.2
ACON2_031705	XM_040379398.2
ACON2_031731	XM_040366431.2
ACON2_031778	XM_049609158.1
ACON2_031786	XM_040371632.2
ACON2_031813	XM_049606738.1
ACON2_031850	XR_007452545.1
ACON2_031856	XR_007452706.1
ACON2_031928	XM_040379259.2
ACON2_031930	XM_040384269.2
ACON2_031957	XM_049610488.1
ACON2_031975	XM_040375694.2
ACON2_031978	XM_040377631.2
ACON2_031990	XM_049611178.1
ACON2_032013	XM_040369687.2
ACON2_032017	XM_040372715.2
ACON2_032027	XR_007452709.1
ACON2_032054	XM_040364843.2
ACON2_032058	XM_040377502.2
ACON2_032064	XM_040365754.2
ACON2_032066	XM_049606860.1
ACON2_032091	XM_040381354.2
ACON2_032093	XR_007452755.1
ACON2_032102	XM_040366323.2
ACON2_032116	XM_040383715.2
ACON2_032117	XM_040372154.2
ACON2_032138	XR_007452775.1
ACON2_032143	XM_040371795.2
ACON2_032155	XM_040366072.2
ACON2_032178	XM_049605909.1
ACON2_032221	XM_049608911.1
ACON2_032243	XM_040368399.2
ACON2_032265	XM_040382583.2
ACON2_032275	XM_049605630.1
ACON2_032315	XM_040365126.2
ACON2_032356	XM_040368869.2
ACON2_032358	XM_040372855.2
ACON2_032439	XM_040385414.2
ACON2_032469	XM_049608709.1
ACON2_032498	XM_040369530.2
ACON2_032510	XM_040378204.2
ACON2_032572	XM_040368288.2
ACON2_032583	XM_049608861.1
ACON2_032595	XM_040384828.2
ACON2_032602	XM_040371417.2
ACON2_032610	XM_040369969.2
ACON2_032622	XM_040383954.2
ACON2_032628	XM_040385339.2
ACON2_032630	XM_040378667.2
ACON2_032636	XR_005751726.2
ACON2_032645	XM_040378350.2
ACON2_032680	XM_040383348.2
ACON2_032697	XM_040378116.2
ACON2_032714	XM_040366556.2
ACON2_032719	XM_040375810.2
ACON2_032792	XM_040378043.2
ACON2_032805	XM_040370760.2
ACON2_032827	XM_049605373.1
ACON2_032841	XM_049611189.1
ACON2_032868	XM_040382497.2
ACON2_032876	XM_040377882.2
ACON2_032881	XM_040370313.2
ACON2_032892	XM_040366118.2
ACON2_032934	XM_040379553.2
ACON2_032999	XM_040366373.2
ACON2_033019	XM_040367807.2
ACON2_033020	XR_007452770.1
ACON2_033024	XM_040381824.2
ACON2_033053	XM_040363679.2
ACON2_033055	XM_040372252.2
ACON2_033058	XM_049605691.1
ACON2_033069	XM_040377195.2
ACON2_033084	XM_040369439.2
ACON2_033100	XM_040366815.2
ACON2_033118	XM_040384572.2
ACON2_033121	XM_040385678.2
ACON2_033128	XM_040377002.2
ACON2_033142	XM_049610139.1
ACON2_033164	XM_040376797.2
ACON2_033214	XR_007452865.1
ACON2_033228	XM_040383284.2
ACON2_033249	XM_040383346.2
ACON2_033253	XM_040380417.2
ACON2_033265	XM_040363562.2
ACON2_033287	XM_049610169.1
ACON2_033306	XM_040377722.2
ACON2_033317	XM_040382352.2
ACON2_033318	XM_040364981.2
ACON2_033343	XM_040367779.2
ACON2_033354	XM_040384100.2
ACON2_033361	XR_005751886.2
ACON2_033411	XM_040372152.2
ACON2_033419	XM_040382648.2
ACON2_033420	XM_040370015.2
ACON2_033484	XM_049610963.1
ACON2_033530	XM_040381285.2
ACON2_033558	XM_040368642.2
ACON2_033613	XM_040383273.2
ACON2_033614	XM_040365773.2
ACON2_033616	XM_040381576.2
ACON2_033625	XM_040382622.2
ACON2_033639	XM_040363400.2
ACON2_033684	XM_040377670.2
ACON2_033686	XM_040379598.2
ACON2_033690	XM_040382660.2
ACON2_033708	XM_049606955.1
ACON2_033826	XM_040381907.2
ACON2_033842	XM_040377127.2
ACON2_033844	XM_040370044.2
ACON2_033887	XR_007452827.1
ACON2_033909	XM_049608910.1
ACON2_033913	XM_040379780.2
ACON2_033934	XM_040381355.2
ACON2_033935	XM_040379475.2
ACON2_033953	XM_049608734.1
ACON2_033984	XM_049611006.1
ACON2_034005	XM_040367390.2
ACON2_034031	XM_040372162.2
ACON2_034034	XM_040381024.2
ACON2_034039	XR_007453130.1
ACON2_034062	XM_040365203.2
ACON2_034081	XR_007452093.1
ACON2_034099	XM_040370259.2
ACON2_034119	XM_040377440.2
ACON2_034141	XM_040378773.2
ACON2_034151	XM_040377935.2
ACON2_034160	XM_049610305.1
ACON2_034195	XM_040367421.2
ACON2_034218	XM_040382586.2
ACON2_034224	XM_049607230.1
ACON2_034246	XM_040368877.2
ACON2_034255	XM_040381200.2
ACON2_034280	XR_007452548.1
ACON2_034292	XM_040378302.2
ACON2_034358	XM_040381048.2
ACON2_034366	XM_040366557.2
ACON2_034372	XM_040376845.2
ACON2_034401	XM_049607469.1
ACON2_034418	XM_049605634.1
ACON2_034486	XM_040369800.2
ACON2_034506	XM_040382095.2
ACON2_034531	XM_040366982.2
ACON2_034537	XM_049605548.1
ACON2_034591	XM_040374699.2
ACON2_034599	XM_040379422.2
ACON2_034621	XM_049606066.1
ACON2_034665	XM_040377792.2
ACON2_034686	XM_040383721.2
ACON2_034694	XR_007453274.1
ACON2_034732	XM_040372661.2
ACON2_034755	XM_040363092.2
ACON2_034767	XM_040365939.2
ACON2_034780	XM_040366436.2
ACON2_034783	XM_040363488.2
ACON2_034793	XM_040381623.2
ACON2_034816	XM_049605095.1
ACON2_034928	XM_040363065.2
ACON2_034979	XM_040384308.2
ACON2_034988	XM_040367053.2
ACON2_035073	XR_007452003.1
ACON2_035083	XM_040363644.2
ACON2_035087	XM_040381277.2
ACON2_035167	XM_049606507.1
ACON2_035174	XM_040377901.2
ACON2_035177	XM_040381641.2
ACON2_035184	XM_040378617.2
ACON2_035195	XM_040385054.2
ACON2_035226	XM_040362417.2
ACON2_035237	XR_007453060.1
ACON2_035238	XM_049610952.1
ACON2_035256	XM_040371348.2
ACON2_035264	XM_040374490.2
ACON2_035281	XM_040375356.2
ACON2_035311	XM_040374077.2
ACON2_035344	XM_040363923.2
ACON2_035359	XM_040369665.2
ACON2_035364	XM_040382624.2
ACON2_035415	XM_040369322.2
ACON2_035448	XM_040364190.2
ACON2_035473	XM_040380196.2
ACON2_035477	XM_040383117.2
ACON2_035502	XM_040382199.2
ACON2_035507	XM_040382543.2
ACON2_035517	XM_040374121.2
ACON2_035629	XM_040380811.2
ACON2_035654	XM_040377671.2
ACON2_035692	XM_040367063.2
ACON2_035754	XM_040381092.2
ACON2_035765	XR_007451979.1
ACON2_035772	XM_040371925.2
ACON2_035875	XM_040367284.2
ACON2_035882	XM_040368400.2
ACON2_035906	XM_040372125.2
ACON2_035913	XM_040367564.2
ACON2_035917	XM_040382212.2
ACON2_035923	XM_040379658.2
ACON2_035925	XM_040371847.2
ACON2_035953	XM_040373145.2
ACON2_035978	XM_040385483.2
ACON2_036033	XM_049609124.1
ACON2_036042	XM_040382558.2
ACON2_036069	XM_040366724.2
ACON2_036093	XM_040376571.2
ACON2_036100	XM_040371335.2
ACON2_036151	XM_040371585.2
ACON2_036182	XM_040362614.2
ACON2_036201	XM_040366887.2
ACON2_036226	XM_040373317.2
ACON2_036232	XM_040371669.2
ACON2_036259	XM_040383887.2
ACON2_036264	XR_007451989.1
ACON2_036273	XM_040371610.2
ACON2_036278	XM_040382440.2
ACON2_036283	XM_040375806.2
ACON2_036343	XM_040381614.2
ACON2_036363	XM_040365895.2
ACON2_036370	XM_049610853.1
ACON2_036390	XR_007452153.1
ACON2_036431	XM_040383353.2
ACON2_036432	XM_040371579.2
ACON2_036447	XM_040367399.2
ACON2_036449	XM_049607035.1
ACON2_036456	XM_040380127.2
ACON2_036526	XM_049605406.1
ACON2_036566	XR_007452974.1
ACON2_036609	XM_040367783.2
ACON2_036629	XM_040374701.2
ACON2_036630	XM_040374629.2
ACON2_036642	XR_007452898.1
ACON2_036719	XM_040382090.2
ACON2_036729	XM_049608496.1
ACON2_036739	XM_049607098.1
ACON2_036753	XM_040381000.2
ACON2_036784	XM_040378871.2
ACON2_036830	XM_049611012.1
ACON2_036845	XM_040367329.2
ACON2_036889	XM_040367722.2
ACON2_036891	XM_040369232.2
ACON2_036907	XR_007453238.1
ACON2_036924	XM_040376310.2
ACON2_036931	XM_040385319.2
ACON2_037013	XM_040380606.2
ACON2_037031	XR_007451985.1
ACON2_037034	XM_049607231.1
ACON2_037040	XM_040378502.2
ACON2_037072	XM_040374551.2
ACON2_037111	XM_049609039.1
ACON2_037184	XM_040382388.2
ACON2_037195	XM_040367426.2
ACON2_037247	XM_040368091.2
ACON2_037261	XR_007452912.1
ACON2_037278	XM_040381683.2
ACON2_037281	XM_040372576.2
ACON2_037284	XM_049605396.1
ACON2_037330	XM_049609129.1
ACON2_037368	XR_007451855.1
ACON2_037391	XR_007451890.1
ACON2_037417	XM_040378656.2
ACON2_037437	XR_007452250.1
ACON2_037460	XM_040365953.2
ACON2_037475	XM_040381220.2
ACON2_037569	XM_040370887.2
ACON2_037574	XM_040376752.2
ACON2_037585	XR_007452809.1
ACON2_037589	XM_040364516.2
ACON2_037632	XR_007453021.1
ACON2_037642	XM_040375629.2
ACON2_037649	XM_049608925.1
ACON2_037665	XM_040379186.2
ACON2_037729	XM_049609020.1
ACON2_037732	XM_040385409.2
ACON2_037748	XM_049609027.1
ACON2_037759	XM_040364904.2
ACON2_037763	XR_007452137.1
ACON2_037799	XM_040365934.2
ACON2_037882	XM_040373335.2
ACON2_037929	XM_049610759.1
ACON2_037957	XM_040372258.2
ACON2_037984	XM_040375985.2
ACON2_038008	XM_049609432.1
ACON2_038010	XM_040384105.2
ACON2_038025	XM_049605245.1
ACON2_038032	XR_007453319.1
ACON2_038064	XM_040379614.2
ACON2_038074	XM_049611103.1
ACON2_038109	XM_040381767.2
ACON2_038157	XR_007452676.1
ACON2_038184	XM_040379694.2
ACON2_038209	XM_040376326.2
ACON2_038214	XM_049609632.1
ACON2_038233	XM_040367837.2
ACON2_038260	XM_049605535.1
ACON2_038266	XM_040365663.2
ACON2_038267	XM_049611127.1
ACON2_038291	XM_049611091.1
ACON2_038310	XM_040382126.2
ACON2_038336	XM_040383087.2
ACON2_038369	XM_040380843.2
ACON2_038402	XM_040373109.2
ACON2_038416	XM_040378798.2
ACON2_038423	XR_005752321.2
ACON2_038448	XM_040369829.2
ACON2_038482	XR_007452631.1
ACON2_038518	XM_049605635.1
ACON2_038531	XM_049608380.1
ACON2_038541	XM_040370898.2
ACON2_038552	XM_040365134.2
ACON2_038596	XM_049610073.1
ACON2_038614	XM_049609407.1
ACON2_038621	XM_040367661.2
ACON2_038633	XR_007452653.1
ACON2_038638	XM_040371127.2
ACON2_038674	XM_040381577.2
ACON2_038680	XM_040363560.2
ACON2_038698	XR_005752019.2
ACON2_038738	XM_040375300.2
ACON2_038771	XM_040378482.2
ACON2_038787	XM_040385157.2
ACON2_038788	XM_040364528.2
ACON2_038870	XM_040366057.2
ACON2_038914	XM_040379170.2
ACON2_038929	XM_049610470.1
ACON2_038943	XM_040375788.2
ACON2_039005	XR_007453140.1
ACON2_039010	XM_040382108.2
ACON2_039033	XM_040369500.2
ACON2_039034	XM_049611048.1
ACON2_039069	XM_040363842.2
ACON2_039079	XM_049608944.1
ACON2_039086	XM_040379820.2
ACON2_039099	XM_049609650.1
ACON2_039169	XM_040385741.2
ACON2_039205	XM_049611100.1
ACON2_039207	XM_049611031.1
ACON2_039210	XM_040380286.2
ACON2_039211	XM_040376895.2
ACON2_039304	XR_005752302.2
ACON2_039307	XM_040366787.2
ACON2_039322	XM_040383177.2
ACON2_039341	XM_040371046.2
ACON2_039342	XM_040365664.2
ACON2_039365	XR_007451781.1
ACON2_039417	XM_049610248.1
ACON2_039421	XM_040383417.2
ACON2_039441	XM_040377564.2
ACON2_039521	XM_040369144.2
ACON2_039540	XM_040364707.2
ACON2_039577	XM_049609634.1
ACON2_039702	XM_040363109.2
ACON2_039725	XR_007452701.1
ACON2_039738	XM_040363160.2
ACON2_039739	XM_040365888.2
ACON2_039740	XM_040372031.2
ACON2_039756	XM_040375557.2
ACON2_039790	XM_040376343.2
ACON2_039848	XM_040366469.2
ACON2_039862	XM_040372676.2
ACON2_039867	XM_049607690.1
ACON2_039877	XM_049608329.1
ACON2_039924	XM_049610170.1
ACON2_039943	XM_040376341.2
ACON2_039980	XM_040382287.2
ACON2_040027	XM_040368103.2
ACON2_040046	XM_040382681.2
ACON2_040057	XM_049610108.1
ACON2_040088	XM_049607470.1
ACON2_040091	XM_040369063.2
ACON2_040183	XM_049609636.1
ACON2_040196	XM_040366206.2
ACON2_040207	XM_049605417.1
ACON2_040214	XM_049609040.1
ACON2_040231	XM_040366319.2
ACON2_040254	XM_040367125.2
ACON2_040262	XM_049608923.1
ACON2_040308	XM_049609385.1
ACON2_040321	XM_040368940.2
ACON2_040351	XM_049607998.1
ACON2_040358	XM_049606077.1
ACON2_040430	XM_040365946.2
ACON2_040432	XM_040368286.2
ACON2_040536	XM_040372981.2
ACON2_040593	XM_040371828.2
ACON2_040602	XM_040371698.2
ACON2_040613	XM_040368391.2
ACON2_040623	XM_049608428.1
ACON2_040675	XM_040378665.2
ACON2_040693	XM_040371407.2
ACON2_040715	XM_040382434.2
ACON2_040720	XM_049608853.1
ACON2_040731	XM_040369423.2
ACON2_040736	XM_040364668.2
ACON2_040778	XR_007452146.1
ACON2_040792	XM_049607527.1
ACON2_040812	XM_040371086.2
ACON2_040836	XM_040382151.2
ACON2_040837	XM_040380036.2
ACON2_040839	XM_040370312.2
ACON2_040896	XM_040368687.2
ACON2_040938	XM_040363150.2
ACON2_040940	XM_040373282.2
ACON2_040965	XM_040371519.2
ACON2_040990	XM_040372708.2
ACON2_041012	XM_040377294.2
ACON2_041042	XM_040367258.2
ACON2_041116	XM_040369882.2
ACON2_041136	XM_040367349.2
ACON2_041153	XM_040362631.2
ACON2_041161	XM_049605249.1
ACON2_041191	XM_040371030.2
ACON2_041204	XM_040368979.2
ACON2_041211	XM_040379233.2
ACON2_041220	XM_040371769.2
ACON2_041234	XM_040384266.2
ACON2_041239	XR_005752316.2
ACON2_041270	XM_040371471.2
ACON2_041285	XM_049608594.1
ACON2_041292	XM_040365903.2
ACON2_041304	XM_040368299.2
ACON2_041308	XM_040381358.2
ACON2_041328	XM_040380686.2
ACON2_041336	XM_040382505.2
ACON2_041351	XM_049609524.1
ACON2_041362	XM_040378008.2
ACON2_041383	XM_040374392.2
ACON2_041391	XM_040375584.2
ACON2_041446	XM_040374493.2
ACON2_041460	XM_049610058.1
ACON2_041512	XM_040384200.2
ACON2_041535	XM_040366889.2
ACON2_041551	XM_040365432.2
ACON2_041602	XM_040378534.2
ACON2_041643	XM_049609153.1
ACON2_041675	XR_005751126.2
ACON2_041687	XM_040371473.2
ACON2_041713	XM_040376351.2
ACON2_041729	XM_049609633.1
ACON2_041774	XM_040379840.2
ACON2_041838	XM_040364098.2
ACON2_041840	XM_049607200.1
ACON2_041842	XM_040373056.2
ACON2_041866	XM_040367232.2
ACON2_041901	XM_040382557.2
ACON2_041907	XM_049609763.1
ACON2_041911	XM_049610413.1
ACON2_041929	XM_040380035.2
ACON2_041938	XM_040381083.2
ACON2_041952	XM_040373359.2
ACON2_041956	XM_049610529.1
ACON2_041961	XM_049608888.1
ACON2_041963	XM_040378125.2
ACON2_041967	XM_040364979.2
ACON2_042011	XM_040373760.2
ACON2_042015	XM_040377681.2
ACON2_042066	XM_040371708.2
ACON2_042077	XM_049606866.1
ACON2_042140	XR_005751096.2
ACON2_042244	XM_040378064.2
ACON2_042245	XM_040365053.2
ACON2_042333	XM_049605473.1
ACON2_042347	XM_040368285.2
ACON2_042351	XM_049607989.1
ACON2_042376	XM_040373270.2
ACON2_042387	XM_040382790.2
ACON2_042390	XM_040385031.2
ACON2_042438	XM_049605183.1
ACON2_042449	XM_040379821.2
ACON2_042458	XM_040379417.2
ACON2_042466	XM_049609067.1
ACON2_042467	XM_040374012.2
ACON2_042508	XM_040372027.2
ACON2_042520	XM_049608940.1
ACON2_042521	XM_040378536.2
ACON2_042568	XR_007452604.1
ACON2_042603	XM_040371794.2
ACON2_042620	XR_007453002.1
ACON2_042678	XM_040381434.2
ACON2_042698	XM_040370447.2
ACON2_042707	XM_049605684.1
ACON2_042722	XM_040365606.2
ACON2_042728	XM_049609509.1
ACON2_042783	XM_040365224.2
ACON2_042814	XM_040375121.2
ACON2_042835	XM_040377675.2
ACON2_042892	XM_040373236.2
ACON2_042900	XM_040382835.2
ACON2_042914	XM_040371434.2
ACON2_042924	XM_040375771.2
ACON2_042936	XR_005752281.2
ACON2_042964	XM_040376344.2
ACON2_043038	XM_040383445.2
ACON2_043050	XM_049605116.1
ACON2_043066	XM_040385044.2
ACON2_043118	XM_040362686.2
ACON2_043171	XM_040374585.2
ACON2_043177	XM_049605289.1
ACON2_043207	XM_040363048.2
ACON2_043218	XM_040367497.2
ACON2_043241	XM_049605562.1
ACON2_043248	XM_040369988.2
ACON2_043273	XM_040378880.2
ACON2_043295	XM_040380795.2
ACON2_043310	XM_040374582.2
ACON2_043334	XM_040383217.2
ACON2_043372	ND4
